C1,C2,C3,C4,C5,C6,C7
0.20160830480473063,0.3960367340907872,0.1002412107642566,0.0761313972838014,0.16305808005767447,0.2213743597129795,0.21574846905804126
0.13263906273886422,0.2417876495518417,0.11769561079617973,0.07514330497551187,0.16237002854870858,0.18037680703624387,0.17142834806832197
0.11404288424370444,0.22427607522668125,0.1282486593542255,0.07446396458789567,0.16210636963075567,0.16465201959988782,0.15871381042438132
0.10453857895787631,0.21514282340758314,0.130366727918665,0.0736070629035201,0.16165205146943298,0.15763495451657572,0.15084124690739908
0.09840288591162066,0.21051084549627572,0.12892628931135774,0.07310244291324482,0.1612940988390245,0.1519427074589462,0.14448305247264487
0.09431092639532045,0.20811047140404443,0.1239490595724538,0.07231357223658919,0.16039845068878103,0.14609756132709645,0.13828636942622818
0.09140586490943053,0.2072758586885773,0.11754941592149645,0.07180430966420709,0.16025963425636292,0.14151535036964952,0.13356178236481187
0.08918399193158774,0.2066780567586979,0.10783691930575906,0.07108752088290508,0.1597094409098135,0.13824701169940912,0.12899804397303366
0.0872720776247644,0.20598762322252043,0.1013027422617529,0.07075328369424722,0.15913606483802617,0.13504884461654681,0.125981776165628
0.08567835070262446,0.2047155623402551,0.10127597946290658,0.07009771020612984,0.15916921379410218,0.13211200852817465,0.122352109020837
0.08434052170019284,0.20493029642884977,0.09804503156620765,0.06970277452998072,0.15839518697183824,0.12948378192904952,0.11955824849483009
0.08325344731456766,0.20470707759121867,0.09541187975033422,0.06913394937030623,0.15825314596991671,0.12719816394219888,0.11718430540689798
0.08220693737129185,0.20368940926322313,0.09670980702911582,0.06876632654778311,0.1576173412047814,0.12513072558931101,0.11481519039964007
0.08113379302982972,0.2029475539783451,0.094022034206123,0.06823325790813035,0.15717630721976825,0.12310230630998299,0.11262299813260541
0.0801533800071088,0.20229989248458471,0.09421827194985942,0.06793105905161839,0.15666886015194598,0.12149944107666194,0.1109185183995238
0.07916380008943727,0.20128691955426029,0.09234450614758741,0.06749809930257708,0.15645951234570174,0.12002078008568176,0.10899043870027934
0.07831672439786876,0.200317535932376,0.0913915034279088,0.06711819005486007,0.1559949627964296,0.11887351197199286,0.10751779043228826
0.07741506091345136,0.20040550410190475,0.09121421003870875,0.06683506245646521,0.15593166858236365,0.11722138081894856,0.10582464118705731
0.07669865750820837,0.19983464757972788,0.09074700310408512,0.06642508092466916,0.15543868350926962,0.11600414346729483,0.10474370399089618
0.075944973521422,0.19903096883932006,0.09135757129047518,0.0662566827627543,0.15474779291130672,0.11489038785623613,0.10351298519662608
0.07534314914841518,0.19848319463362205,0.09224922742659801,0.06584758031242918,0.15446978640333514,0.11402311715706487,0.10214771243317106
0.07464788241364131,0.19796429309889535,0.08885251849054177,0.06547031401891575,0.15437734175786794,0.11313554613250439,0.1010317855697369
0.07397503893230563,0.19772252698089474,0.08716857917258673,0.06530584607308156,0.15377103223978916,0.11209251195470864,0.10012539486600974
0.07334449438151912,0.1975017909273923,0.08875093013744488,0.06494013428966576,0.15350262368115308,0.11090685319259902,0.09940024239019812
0.07277898438205228,0.19719154520012508,0.0858648480655991,0.06468518452596998,0.15316407500861962,0.11058380510483946,0.09846916679884786
0.0722138097631597,0.19729527441140648,0.08458724750258098,0.06451646891361643,0.1529209870044316,0.10973099817600206,0.09766328540221553
0.0717358135522526,0.1966608725140028,0.08330814213117707,0.06414208677814942,0.15260316967685647,0.10900173318859573,0.09693520544009789
0.07134269654890087,0.19693930892743797,0.0822638208481753,0.06390595230682988,0.15199803930019665,0.10839507659183484,0.09601538085213332
0.07088472471337452,0.19670983473552722,0.0812538250166679,0.06368260653080227,0.1518870796137881,0.10746254068668758,0.09537999450324852
0.07053745579775249,0.19610848027133496,0.0803983348343417,0.06352300574637462,0.15137668476205005,0.10682877532650377,0.09462455593954737
0.07010817249244619,0.19639086479617057,0.07983209593134506,0.06326477306189938,0.1510585005456042,0.1063379006477717,0.09398660352714708
0.06965016465738555,0.1959631660274256,0.07919550116095588,0.06302323404734379,0.15098717920134,0.10567335297014112,0.09342990310810437
0.06930397621521325,0.19585415658271202,0.0788102062923886,0.06277840697667866,0.1505824292653075,0.10506013906169161,0.09310008926647846
0.06889269494007681,0.19572340892018558,0.07856940227412731,0.06272155845485558,0.15039288656455335,0.1046489115073302,0.09246996943360176
0.06861085503875652,0.19532974607476564,0.07856577363248184,0.06246439807952565,0.14995562577637556,0.10403007658842568,0.09200038256071438
0.06833109042006676,0.19530161038458904,0.07794920146186775,0.06210626928118345,0.1499922249083207,0.10333879250232304,0.09137708972269129
0.06790135396975223,0.19533157320780176,0.07875345139024413,0.06201010885013041,0.14961010182850829,0.103213270795401,0.0907864616922686
0.0676549183396257,0.19503029735288888,0.07921710906323985,0.06179922970586291,0.14910282131945976,0.10234999754161478,0.09010650259312068
0.0674004211464775,0.19490641634040903,0.0790949033869204,0.06158102476081558,0.14895773017517874,0.10213242370252297,0.09002974145462579
0.06717501065441381,0.1947221611147729,0.08251319376525477,0.061468658463977206,0.14872245567145748,0.10195703578190268,0.0896097089503413
0.06691357928598038,0.19477736601762682,0.0799640961966225,0.06135995861874006,0.14841335517502277,0.10131249134646397,0.08905523991055578
0.06660782030531179,0.19464301819277702,0.07831991530049627,0.06111447124907347,0.1481911824824654,0.10075518530662929,0.0886614946909597
0.0664920652650784,0.1945967836496986,0.07686488901343301,0.06097884128026873,0.14793578528355214,0.10031422527036934,0.08811979932344963
0.0661849424800026,0.1944652513087353,0.07675266467800765,0.06081113943429751,0.14784886416430784,0.09972499241338711,0.0880885185134188
0.06602110081813603,0.19396723006094727,0.07656157730477993,0.0607136801999306,0.14762123980533295,0.09968506046962515,0.08744397442613806
0.06576585069855798,0.19427153280126713,0.07603192524375202,0.06059369690298477,0.14764608770051849,0.09929377018151997,0.08705374344347794
0.06555349315368683,0.19393655072862856,0.07532649762301802,0.06036686394189563,0.14711419680965282,0.09877753000114566,0.0868188070359631
0.06538404498214477,0.19379835346034754,0.07505352774234576,0.06032214197112578,0.14703597413880803,0.09848584318272421,0.08639334974305651
0.06522636446301068,0.19360011105782518,0.07498462174401105,0.06017790087194086,0.1469167677737842,0.09817652237192492,0.0861570618559267
0.06508531948882286,0.19374888167481555,0.07398696974894711,0.0600974282998348,0.1468120394883869,0.09811058309729968,0.08584051540939608
0.0649535801331295,0.19353971101134737,0.07389404743074257,0.059961866883334713,0.14672074529612175,0.09755061866245537,0.08528557465037453
0.06471840910195747,0.1937739913847959,0.0735810287296772,0.05982783830193716,0.1460873637104703,0.09732551385309095,0.08497456280149032
0.06467098210041768,0.1935559848201609,0.07324695218110754,0.05964479769501731,0.1462699204126251,0.09689416116643175,0.08465521601594497
0.06448442447129811,0.19337295712990182,0.07271031359924335,0.059609375476280105,0.1463151530963238,0.09664348328364229,0.08444647706836184
0.06439037337272524,0.19309264247384028,0.0724272932335038,0.059457959137230273,0.14611555879639687,0.09674948690650619,0.08433384399547755
0.06426996814313336,0.19304164276223315,0.07220831367178498,0.059453234598736894,0.14590240576278382,0.09613909171981232,0.08402375525263982
0.06413294519428338,0.19296073189405638,0.07204034134188544,0.059311657604352336,0.14566635918394427,0.09568784076058975,0.0836852021585001
0.06404687417235887,0.1929644057962382,0.07171058494632489,0.059267914984549315,0.14556421019206536,0.09567518111005008,0.08341216222844391
0.06400915337987592,0.19310217072194982,0.07137547760644805,0.059158518945223816,0.1457523003081295,0.0951417681073474,0.08321320551021077
0.06384781654053759,0.19286190558259733,0.07116042557999352,0.059112149978352485,0.14561213984667698,0.09514832628943096,0.0828361149494336
0.06377627086068426,0.1925961799292921,0.07093983035639068,0.05904142032856139,0.14553443098736701,0.09485406073454385,0.08271998177482703
0.06364386304168501,0.1928080718650996,0.07073177728001202,0.0589783095067071,0.14563422489946135,0.09449826807619255,0.08236930742163524
0.06358955328779242,0.19278197658953267,0.0705545823498864,0.05893354457324353,0.14496190616182078,0.09444791841033463,0.08228856673307508
0.06349882784639006,0.1927419332700355,0.07043750587607099,0.05886106617818369,0.14520058377045336,0.09420119591544722,0.08196995546606099
0.06341010283365428,0.19248901948193523,0.07023633556945302,0.05885033081416215,0.1450766427355392,0.09400769723492249,0.08180353090724099
0.06336971784933149,0.192750364959797,0.07016322451913468,0.05878749172960487,0.14540148178272158,0.09379882142644062,0.08161576311582718
0.06330102838784735,0.19249686382919828,0.0700809583416052,0.05871032154030889,0.144859506008781,0.09340611368278477,0.0814853026836275
0.06325925305207199,0.19249223980391136,0.07000361076582258,0.05868355649584365,0.14477340654235019,0.09345812580295812,0.08105513443038842
0.06323346507813886,0.1923970102428276,0.06995084369990313,0.0585909221216897,0.14461722823782502,0.09309774170690607,0.08116596971995363
0.06322468232328647,0.19227518217864437,0.06981205539864914,0.058699643779023786,0.1447866440654915,0.09302643397561858,0.0808821858089661
0.06316328398604816,0.19240969238437225,0.06980458692273248,0.058614175505587986,0.144866592485771,0.09281063205170854,0.08066637493739619
0.06310429239523745,0.19227414404120402,0.06990908225563085,0.058573194457409536,0.14496953019471925,0.0925723034366269,0.08056683904517477
0.06307384672914153,0.19227390388183505,0.06981627674442585,0.058537925567443125,0.14440832816273252,0.09271191046616742,0.08038638110890567
0.06306013727786942,0.1925947836765619,0.06975783397243401,0.058538652764998866,0.14467215064530062,0.09237550599413498,0.08022493155342396
0.0630496117138417,0.19229806472207897,0.06970618559030171,0.05845023595910763,0.1443704316549212,0.09242475530672296,0.0800700330427874
0.06304747019415703,0.1922134733367189,0.06973923272757887,0.05846599705308397,0.14465916602411003,0.09189024685977776,0.08006933867652839
0.06299147512937818,0.1923814436124864,0.069785226136446,0.058507046897277655,0.1446002425852223,0.09183472917180195,0.07987689024934144
0.06299841182880869,0.19237069381731692,0.06969191520431331,0.05841539664385475,0.1444597295093759,0.09191217879268611,0.07973465995393067
0.06301709342852374,0.19234774435792013,0.06969058311709733,0.05842486379024024,0.14461774316346535,0.09186468952309305,0.07959339976589257
0.06304804777082439,0.19213238915550374,0.06976502681168441,0.05838857180325784,0.14481512484984976,0.09139456453724443,0.07958665559782047
,,,,,0.09159301249223335,0.07936270865742291
,,,,,0.09144234242979611,0.07921875710381526
,,,,,0.09130094123777942,0.07921230451804455
,,,,,0.0912825075961719,0.07902201581920419
,,,,,0.09101200535475651,0.07900585665881077
,,,,,0.0911105087496967,0.0790742174765774
,,,,,0.09078929012763166,0.07889090913617722
,,,,,0.09100547767131129,0.07893207477771233
,,,,,0.0910814958406943,0.07874392369918734
,,,,,0.09084645641323562,0.07870137649718846
,,,,,0.09060692063001828,0.07868281031184107
,,,,,0.09071384258916444,0.07855787281399575
,,,,,0.09084262886894083,0.07855553618658369
,,,,,0.09070181240823781,0.07864082837912524
,,,,,0.09068603528158686,0.0784083013292228
,,,,,0.09058727195190493,0.07854106632348533
,,,,,0.09067231629078633,0.07846642595445999
,,,,,0.09065829690928771,0.07841486734486072
,,,,,0.09043840277139271,0.07847925957953819
,,,,,0.09031078619795425,0.07832919252670814
